name,Prec,Rec,F1,ACP,AAP,K Metric,Actual,GHAC_nok
Yang Wang.xml,0.40074906367041196,0.3624047417442845,0.38061360604713207,0.6462779560891689,0.889790517136055,0.4207351217437618
Li Shen.xml,0.7670588235294118,0.46504992867332384,0.5790408525754884,0.7734285714285715,0.8493809523809525,0.4765984917397811
Michael Lang.xml,0.8571428571428571,0.43902439024390244,0.5806451612903225,0.9583333333333334,0.9583333333333334,0.5
Yun Wang.xml,0.45454545454545453,0.36764705882352944,0.4065040650406504,0.7770833333333333,0.7895833333333334,0.4960106382978723
Koichi Furukawa.xml,0.9640371229698376,0.29157894736842105,0.44773706896551724,0.9955357142857143,0.9955357142857143,0.5
Hao Wang.xml,0.23813291139240506,0.4269503546099291,0.3057389537836465,0.5938484795627653,0.8627245770102913,0.40770250203579816
Thomas Hermann.xml,0.8066914498141264,0.6555891238670695,0.7233333333333333,0.9269005847953216,0.9385964912280702,0.49686520376175547
Bo Liu.xml,0.1676802780191138,0.4718826405867971,0.24743589743589745,0.5310251359991196,0.8966250786120263,0.3719574518774942
Paul Brown.xml,0.9655172413793104,0.39436619718309857,0.5599999999999999,0.9666666666666667,0.9666666666666667,0.5
Eric Martin.xml,0.9348925410872313,0.864406779661017,0.8982690555724262,0.9946091644204851,0.9973045822102425,0.49932341001353175
Bob Johnson.xml,0.2222222222222222,0.4,0.2857142857142857,0.7,0.75,0.48275862068965514
Fei Su.xml,0.9283489096573209,0.9341692789968652,0.9312499999999999,0.9916666666666668,0.9916666666666668,0.5
Qiang shen.xml,0.912375790424571,0.9985170538803757,0.9535048383290063,0.9776119402985075,0.9925373134328358,0.49621212121212127
R. Balasubramanian.xml,0.9,0.1111111111111111,0.1978021978021978,0.9642857142857143,0.9642857142857143,0.5
Philip J. Smith.xml,0.7901234567901234,0.38323353293413176,0.5161290322580646,0.7858796296296297,0.8414351851851852,0.4829302987197724
Thomas Tran.xml,1.0,1.0,1.0,1.0,1.0,0.5
Cheng Chang.xml,0.9848484848484849,0.8024691358024691,0.8843537414965986,0.9285714285714286,0.9285714285714286,0.5
Frank Mueller.xml,0.9989264626945786,0.3914598233066891,0.5624905546320085,0.9696969696969696,0.9696969696969698,0.49999999999999994
Daniel Massey.xml,1.0,0.735191637630662,0.8473895582329317,1.0,1.0,0.5
Jim Gray.xml,0.9629579004920722,0.4094501917935604,0.5745860859636246,0.9661462172588333,0.9736158717873113,0.49807459518601294
Robert Allen.xml,0.9787234042553191,0.8679245283018868,0.9199999999999999,0.875,0.875,0.5
Lu Liu.xml,0.6714285714285714,0.7305699481865285,0.6997518610421836,0.8145833333333332,0.8784722222222222,0.48113207547169806
Kuo Zhang.xml,1.0,0.5454545454545454,0.7058823529411764,1.0,1.0,0.5
Ajay Gupta.xml,0.6851851851851852,0.31092436974789917,0.4277456647398844,0.8555555555555556,0.9,0.4873417721518988
Thomas Wolf.xml,0.8714285714285714,0.3446327683615819,0.4939271255060728,0.9112554112554112,0.9112554112554112,0.5
M. Rahman.xml,0.375,0.42857142857142855,0.39999999999999997,0.7857142857142857,0.8214285714285714,0.4888888888888889
F. Wang.xml,0.2,0.5,0.28571428571428575,0.9222222222222222,0.9444444444444445,0.494047619047619
Robert Schreiber.xml,1.0,0.15184513006654568,0.26365546218487396,1.0,1.0,0.5
Yi Deng.xml,0.8558449424591157,0.5328054298642534,0.6567511038810132,0.8378787878787879,0.896969696969697,0.4829694323144105
Xiaoming Wang.xml,0.7943262411347518,1.0,0.8853754940711462,0.8271604938271605,0.8765432098765432,0.4855072463768116
Gang Chen.xml,0.7157484154071185,0.4557590810307358,0.5569044006069803,0.7253007518796992,0.9344418337510444,0.4369959282596023
Paul Wang.xml,1.0,0.9047619047619048,0.9500000000000001,1.0,1.0,0.5
John F. McDonald.xml,0.9975609756097561,0.7746212121212122,0.8720682302771856,0.8333333333333334,0.8333333333333334,0.5
Jose M. Garcia.xml,0.8611539648256711,0.948996939816389,0.90294403105791,0.962962962962963,0.962962962962963,0.5
Lei Wang.xml,0.11370967741935484,0.4723618090452261,0.18329541761455964,0.6036156313412241,0.9177239288572124,0.3967658812885213
Xiaoyan Li.xml,1.0,0.7403846153846154,0.850828729281768,1.0,1.0,0.5
William H. Hsu.xml,0.912,0.45875251509054327,0.6104417670682731,0.9487179487179488,0.9487179487179488,0.5
X. Zhang.xml,0.3488372093023256,0.6666666666666666,0.4580152671755725,0.6454545454545455,0.8022727272727272,0.445839874411303
Feng Liu.xml,0.32,0.48519040902679833,0.3856502242152467,0.6970245549355865,0.8894907778116186,0.43934309397982363
Bing Liu.xml,0.8720612356478951,0.16277171139912236,0.2743378052975576,0.7772624618734458,0.8384153440789597,0.48107516177414295
Rafael Alonso.xml,1.0,0.08264462809917356,0.15267175572519084,1.0,1.0,0.5
Yu Zhang.xml,0.21590486807878112,0.5470809792843692,0.30961897148947504,0.5768285507904884,0.9411901599617861,0.37998777400091027
Jianping Wang.xml,0.8192771084337349,0.8209255533199196,0.8201005025125628,0.8515625,0.8671875,0.4954545454545455
Wen Gao.xml,0.9619205098185943,0.7386078236935025,0.8356015013944516,0.8416534720273646,0.8966483945965447,0.4841814233692362
Yoshio Tanaka.xml,1.0,0.8582375478927203,0.9237113402061855,1.0,1.0,0.5
R. Ramesh.xml,0.9441860465116279,0.5516304347826086,0.6963979416809605,0.8166666666666668,0.8166666666666668,0.5
Wei Xu.xml,0.5299760191846523,0.7432735426008968,0.6187587494167056,0.7030738611233968,0.9223843923534327,0.4325388607302174
